# ----------------------------------------
# HHS.gov - Main - 360 Umbrella
# Press Room Traffic Sources - May 2026-By Channel Group
# 20260501-20260531
# ----------------------------------------

,Session default channel group,Direct,Direct,Organic Search,Organic Search,Referral,Referral,Organic Social,Organic Social,Email,Email,Totals,Totals
Page title,Page path and screen class,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views
,,70698,645439,70975,122834,11369,25894,11572,13879,3853,4466,166270,813962,Grand total
Press Room | HHS.gov,/press-room/index.html,20971,539109,3844,25348,896,8930,106,882,19,52,25650,574440
FACT SHEET: Secretary Kennedy and Secretary McMahon Celebrate Medical School Commitments to Increase Nutrition Training for Future Doctors | HHS.gov,/press-room/fact-sheet-sec-kennedy-sec-mcmahon-celebrate-med-school-commitments-to-increase-nutrition-training-for-future-doctors.html,111,131,270,377,51,89,14,14,0,0,438,611
"HHS Replaces Legacy COBOL Payroll System, Delivering Faster, More Reliable Services | HHS.gov",/press-room/hhs-replaces-legacy-payroll-system-improving-service-delivery.html,377,575,46,57,15,18,8,9,0,0,445,659
Fact Sheet : Ensuring Patient Safety Through Reform of Direct-to-Consumer Pharmaceutical Advertisement Policies | HHS.gov,/press-room/hhs-fda-drug-ad-transparency-fact-sheet.html,91,127,318,448,36,49,0,0,0,0,437,624
CMS Launches Landmark $50 Billion Rural Health Transformation Program | HHS.gov,/press-room/cms-rural-health-transformation-program-50-billion.html,141,167,279,360,19,24,0,0,0,0,439,551
"HHS, USDA, and EPA Announce Over $1B in Investments and Plan to Accelerate Progress on Farm Modernization and Long-Term Food Supply Security | HHS.gov",/press-room/hhs-usda-epa-announce-one-billion-investments-plan-accelerate-progress-farm-modernization-long-term-food-supply-security.html,261,432,132,211,28,45,0,0,0,0,414,688
"HHS, CMS Set Most-Favored-Nation Pricing Targets to End Global Freeloading on American Patients | HHS.gov",/press-room/cms-mfn-lower-us-drug-prices.html,174,207,146,195,79,121,7,13,0,0,411,555
SAMHSA Distributes Nearly $800 Million in Block Grants Nationwide for Community-Based Mental Health and Substance Abuse Programs | HHS.gov,/press-room/samhsa-distributes-nearly-dollar-million-block-grants-nationwide-community-based-mental-health-substance-abuse-programs.html,209,326,154,185,20,32,0,0,0,0,392,560
Secretary Kennedy Enhances Management Team to Accelerate President Trump’s Priorities and MAHA Agenda | HHS.gov,/press-room/secretary-kennedy-enhances-management-team-accelerate-president-trumps-priorities-maha-agenda.html,211,343,152,170,22,27,0,0,8,8,390,548
WTAS: HHS Calls For Urgent Action To Reduce Harmful Screen Use And Protect Children Online | HHS.gov,/press-room/wtas-secretary-kennedy-announces-hhs-action-reduce-harmful-screen-use-protect-children-online.html,262,268,101,120,28,42,0,0,0,0,389,430
HHS Makes Push to Stop Youth Vaping | HHS.gov,/press-room/hhs-youth-vaping-resource-guide-illegal-vapes.html,151,171,204,287,28,35,0,0,0,0,379,493
